time	myId	metric_died_count	metric_new_hospitalized	metric_new_critical	metric_new_cases_asympt	metric_new_cases_sympt	metric_new_deaths	
10	d_47	0	0	0	0	0	0	
10	d_48	0	0	0	1	1	0	
10	d_45	0	0	0	0	0	0	
10	d_46	0	0	0	0	0	0	
10	d_43	0	0	0	0	0	0	
10	d_44	0	0	0	0	0	0	
10	d_2	0	0	0	5	3	0	
10	d_41	0	0	0	0	0	0	
10	d_1	0	0	0	0	1	0	
10	d_42	0	0	0	0	0	0	
10	d_4	0	0	0	0	0	0	
10	d_3	0	0	0	0	0	0	
10	d_40	0	0	0	0	0	0	
10	d_6	0	0	0	0	0	0	
10	d_5	0	0	0	0	0	0	
10	d_8	0	0	0	0	0	0	
10	d_7	0	0	0	0	0	0	
10	d_9	0	0	0	0	0	0	
10	d_29	0	0	0	0	0	0	
10	d_27	0	0	0	0	0	0	
10	d_28	0	0	0	0	0	0	
10	d_36	0	0	0	0	0	0	
10	d_37	0	0	0	0	0	0	
10	d_34	0	0	0	0	0	0	
10	d_35	0	0	0	0	0	0	
10	d_32	0	0	0	0	0	0	
10	d_33	0	0	0	0	0	0	
10	d_30	0	0	0	0	1	0	
10	d_31	0	0	0	0	0	0	
10	d_18	0	0	0	1	2	0	
10	d_19	0	0	0	0	0	0	
10	d_16	0	0	0	0	0	0	
10	d_17	0	0	0	0	0	0	
10	d_25	0	0	0	0	0	0	
10	d_26	0	0	0	0	0	0	
10	d_23	0	0	0	0	0	0	
10	d_24	0	0	0	1	0	0	
10	d_21	0	0	0	1	1	0	
10	d_22	0	0	0	0	0	0	
10	d_20	0	0	0	0	0	0	
10	d_60	0	0	0	0	0	0	
10	d_49	0	0	0	0	0	0	
10	d_14	0	0	0	0	0	0	
10	d_58	0	0	0	0	0	0	
10	d_15	0	0	0	0	0	0	
10	d_59	0	0	0	0	0	0	
10	d_12	0	0	0	0	0	0	
10	d_56	0	0	0	0	0	0	
10	d_13	0	0	0	1	0	0	
10	d_57	0	0	0	0	0	0	
10	d_10	0	0	0	0	0	0	
10	d_54	0	0	0	0	0	0	
10	d_11	0	0	0	0	0	0	
10	d_55	0	0	0	0	0	0	
10	d_52	0	0	0	0	0	0	
10	d_53	0	0	0	0	0	0	
10	d_50	0	0	0	0	0	0	
10	d_51	0	0	0	0	0	0	
11	d_38	0	0	0	0	0	0	
